rooms,exp_02,exp_03,exp_04,exp_05,exp_06,exp_07,exp_08,exp_09,exp_10,exp_11,exp_12,share_food,pc_exp,quint_nat,num_children,housing_density,house_quality_score,house_modernity_score,lifestyle_score,living_conditions_level_score,highest_edu_lvl,occupation_4_per_household,occupation_5_per_household,occupation_6_per_household,industry_1_per_household,industry_6_per_household,industry_11_per_household,percent_literate,statocc_2,urbrur_2
0.0,0.14944649446494465,0.0648619673009917,0.06307560067127829,0.024647887323943664,0.02557544757033248,0.025533128878111405,0.022662266226622662,0.01858362631843295,0.005128205128205128,0.16437098255280075,0.04678016284233901,0.23364486408952384,0.13122323170310848,1.0,0.0,0.04281767955801105,0.8,0.4375,0.23809523809523808,0.05385902940666058,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
0.0,0.06549815498154982,0.06834628785848298,0.022717039826450004,0.04518779342723005,0.03324808184143222,0.018472291562656017,0.058085808580858087,0.025364138623807132,0.012145748987854251,0.1726354453627181,0.03316062176165803,0.39786381610041405,0.11983115312101542,1.0,0.0,0.08839779005524862,0.8,0.65625,0.23809523809523808,0.0246371051261525,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
0.15789473684210525,0.0544280442804428,0.1801125703564728,0.14747656665711595,0.0710093896713615,0.08951406649616368,0.04963982597532273,0.12805280528052804,0.09718734304369664,0.04804318488529015,0.09121518212427303,0.12227979274611399,0.1255006524032713,0.1293197083686006,1.0,0.0,0.03370165745856354,0.9000000000000001,1.0,0.5238095238095237,0.09996473216035111,0.9,0.0,0.2,0.0,0.0,0.0,0.2,1.0,0,1
0.0,0.16051660516605165,0.1704636826588046,0.11460848921452252,0.06122848200312989,0.11508951406649616,0.07381784466157906,0.13025302530253025,0.051230537418382724,0.02010796221322537,0.17416590143862873,0.13589933382679498,0.3230974691412422,0.152220111232604,1.0,0.0,0.08839779005524862,0.8,0.71875,0.47619047619047616,0.03567649874323334,0.5000000000000001,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0,1
0.10526315789473684,0.07564575645756458,0.15518627713749664,0.2224632638860464,0.181924882629108,0.07774936061381074,0.1691748092147493,0.11353135313531353,0.11024610748367655,0.03603238866396761,0.42485460667278846,0.10051813471502591,0.032042718704306375,0.4074520758939113,1.0,0.0,0.015469613259668509,0.8,0.59375,0.7619047619047619,0.18763050500187536,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
0.10526315789473684,0.013837638376383764,0.03430715625837577,0.1546805288363145,0.05066510172143975,0.16265984654731455,0.01397903145282077,0.14521452145214522,0.027624309392265196,0.004183535762483131,0.011631466176920723,0.04988897113249445,0.2750333662163562,0.10846813596387665,1.0,0.0,0.03370165745856354,0.9000000000000001,0.96875,0.3333333333333333,0.01338125281069754,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
0.15789473684210525,0.038745387453874534,0.22380058965424818,0.16704187303016657,0.11032863849765259,0.35089514066496164,0.1348691248841024,0.19163916391639163,0.1496735308890005,0.12604588394062077,0.059993878175696354,0.153960029607698,0.19092122588728777,0.13339314670298136,1.0,0.1,0.04281767955801105,0.9000000000000001,0.96875,0.6190476190476191,0.04130442490096081,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1,1
0.10526315789473684,0.03966789667896679,0.13588850174216027,0.2801768245262167,0.23102503912363068,0.3258312020460358,0.1541972755152985,0.41606160616061605,0.13787041687594176,0.031578947368421054,0.10254055708601163,0.16535899333826795,0.12149532375602483,0.2597473835635846,1.0,0.0,0.03370165745856354,0.9000000000000001,0.96875,0.8095238095238095,0.030388721968665208,0.9,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0,1
0.0,0.0036900369003690036,0.011257035647279548,0.04482010560353649,0.0,0.016368286445012786,0.0027102203837101493,0.0026402640264026403,0.002511300853842291,0.0010796221322537112,0.009182736455463728,0.011102886750555145,0.18958610970662532,0.042963684116841455,0.5,0.0,0.04281767955801105,0.7,0.28125,0.047619047619047616,0.013164794112323403,0.5000000000000001,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1,1
0.10526315789473684,0.011992619926199261,0.09005628517823638,0.060169456837624334,0.16040688575899845,0.2849104859335038,0.027458811782326512,0.015181518151815182,0.19989954796584633,0.016059379217273954,0.002448729721456994,0.054478164322723906,0.44993324767254655,0.04885588802632966,0.5,0.0,0.0701657458563536,0.7,0.84375,0.38095238095238093,0.03053878787300021,0.6000000000000001,0.0,0.2,0.0,0.0,0.4,0.0,0.5,0,1
